आंकरी,अंकुर
बोट,अंगुली
द्राक्ष,अंगूर
अंजन,अंजन
आंधळेपण,अंधापन
काळोख,अंधेरा
दुकळ,अकाल
ऑक्टोबर,अक्टूबर
अक्षर,अक्षर
ऑगस्ट,अगस्त
नोंचे,अचार
बरें,अच्छा
चांग,अच्छी
हागवण,अतिसार
आलें,अदरक
शिक्षक,अध्यापक
आवनास,अनन्नास
मान्यताय,अनुमति
अंगेले,अपना
मोडणें,अपस्मार
एप्रिल,अप्रैल
दुख्ख,खेद
नटी,अभिनेत्री
अभ्रक,अभ्रक
पेर,अमरूद
दोळो,आँख
दोळ,आँख
आंगण,आँगन
दुकां,आँसू
हारसो,आईना
हल्लो,आक्रमण
आजी,आज
पीठ,आटा
आत्मो,आत्मा
ख़ुशी,आनंद
तुमी,आप
तुमकां,आपसे
पुरवण,आपूर्ति
आंबो,आम
आयात,आयात
आरत,आरती
विसव,आराम
खरवत,आरी
बटाट,आलू
स्वरू,आवाज
आवाज,आवाज
यो,आवो
आस्त,आशा
मळब,आसमान
भावार्थ,आस्था
इत्स,इच्छा
चींच,इमली
वाठार,इलाका
जळोव,ईंधन
जाळ,ईर्ष्या
नसाय,ईर्ष्या
प्राय,उम्र
तागेले,उसका
ताक्का,उसे
करें,ऊँट
ए,ए
ऐ,ऐ
औ,औ
कंद,कंद
खांद,कंधा
कांबळ,कंबल
तवशें,ककड़ी
पणस,कटहल
वागोणी,कनखजूरा
कप,कप
कापूस,कपास
कवडो,कपोत
पारवो,कबूतर
थडगें,कब्र
मसंड,कब्रिस्तान
कूरटू,कमर
भेंड,कमर
कूड,कमरा
खोमीस,कमीज़
पळी,करछुल
कडी,करी
करी,करो
कर्तव्य,कर्तव्य
फाई,कल
लिखणी,कलम
मनगट,कलाई
कलाकार,कलाकार
कळो,कली
बरेपण,कल्याण
कवी,कवि
खयी,कहाँ
काणी,कहानी
छे,का
कांटो,काँटा
कागद,कागज़
तोणी,काठी
कान,कान
कायदो,कानून
काम,काम
कारखानो,कारखाना
कारागीर,कारीगर
दफ्तर,कार्यालय
पुस्तक,किताब
किल्लो,किला
शेतकार,किसान
चिकोल,कीचड़
फुनेल,कीप
बांय,कुआँ
अळमें,कुकुरमुत्ता
सुणें,कुतिया
सुणें,कुत्ता
सुणो,कुत्ता
खोरें,कुदाल
कदेल,कुरसी
कुराड,कुल्हाड़ी
कोड,कुष्ठ
दंत,कृमि
केंद्र,केन्द्र
केळें,केला
कशी,कैसे
कोगूळ,कोकिला
कोगूळ,कोयल
कोळसो,कोयला
कावळो,कौआ
खीण,क्षण
क्षय,क्षय
भांडार,खजांची
तिजोरी,खज़ाना
खाजूर,खजूर
नळो,खपरैल
सोंसो,खरगोश
खोंकली,खाँसी
खाट,खाट
खत्ता,खाता
सारें,खाद
कंडी,खिड़की
तवशें,खीरा
रगत,खून
शेत,खेत
नाताल,ख्रिसमस
गंधक,गंधक
गवळ,गड़रिया
गाढव,गधा
ऊस,गन्ना
गेल्लो,गया
गळो,गरदन
गोमटी,गरदन
गर्भपात,गर्भपात
नग,गहना
गांव,गाँव
गाजर,गाजर
गावपीण,गायिका
गाल,गाल
पोलो,गाल
गीद,गिद्ध
इगर्ज,गिरजाघर
कैद,गिरफ़्तारी
चानी,गिलहरी
घुमट,गुंबद
नेवरी,गुजिया
बावलो,गुड्डा
गांड,गुदा
गुलाब,गुलाब
राग,गुस्सा
गंव,गेहूँ
गुळो,गोली
गोठो,गोशाला
गांव,ग्राम
वर,घंटा
घांट,घंटी
गाडगो,घडा
घडयाळ,घड़ी
घण,घन
घागरो,घाघरा
घाय,घाव
तण,घास
तूप,घी
धोंपर,घुटना
घोंटेर,घोंसला
घोडो,घोड़ा
गंद,चंदन
मांदरी,चटाई
खडप,चट्टान
वथ,चतुर्थी
चणो,चना
चाकर,चपरासी
कुलेर,चमचा
मोगरें,चमेली
चान्नें,चाँदनी
मावशी,चाची
चादर,चादर
चावी,चाबी
च,चाय
तांदूळ,चावल
हुस्को,चिंता
खंत,चिंता
वैज,चिकित्सक
सुकणें,चिड़िया
अभयारण्य,चिड़ियाघर
चित्र,चित्र
सक्कर,चीनी
कांकण,चूड़ी
तोंड,चेहरा
सरपळी,चैन
पाखें,छत
ताक,छाछ
साल,छाल
पाल,छिपकली
सुटी,छुट्टी
सुरी,छुरी
रान,जंगल
जानेवारी,जनवरी
जैत,जय
वातावरण,जलवायु
जस्त,जस्ता
जांग,जाँघ
वत्ता,जाओगे
जादूगार,जादूगर
जांबळ,जामुन
जिल्लो,ज़िला
भावोजी,जीजा
जीब,जीभ
जीब,जीभ
जिरें,जीरा
सैथ्य,जुकाम
काजुलो,जुगनू
जुलय,जुलाई
ऊ,जूँ
जून,जून
बोल्स,जेब
जळ,जोंक
बाजरी,जौ
ज्योतिश,ज्योतिषी
बावटो,झंडा
सारनी,झाडू
तळें,झील
आमोरी,झुटपुटा
खोंप,झोंपड़ी
पोतें,झोला
परसाकडेन,टट्टी
पंगड,टीम
चेपें,टोप
तोपी,टोपी
खाडकी,ठोड़ी
बेत,डंडा
पोस्टमॅन,डाकिया
फांटो,डाली
खांदो,डाली
धांपणें,ढक्कन
उशें,तकिया
कांदो,तना
पालेभाजी,तरकारी
भाजी,तरकारी
काळींग,तरबूज
तागडी,तराजू
तलवार,तलवार
पीर,तश्तरी
तांबें,ताँबा
मावशी,ताई
तालें,ताला
पिसोळें,तितली
चामखीळ,तिल
तीळ,तिल
जल्लो,तिलचटा
तीर,तीर
तुव,तुम
तुजे,तुम्हारा
वेगान,तेज,तेज़
तेल,तेल
तेल,तेल
कीर,तोता
तुवालो,तौलिया
परब,त्योहार
अषिले,था,थी
पोतें,थैला
तोट्टो,थैली
दंडाधिकारी,दंडाधिकारी
दमो,दमा
बागिल,दरवाज़ा
शिंपी,दर्जी
पक्ष,दल
पेज,दलिया
दसक,दशक
धंय,दही
दांत,दाँत
दांत,दांत
वैजीण,दाई
खाड,दाढ़ी
आजो,दादा
आजी,दादी
दीस,दिन
मेंदू,दिमाग
डिसेंबर,दिसंबर
पसरो,दुकान
संवसार,दुनिया
व्हंकल,दुलहन
दूद,दूध
वरेतु,दूल्हा
न्हवरो,दूल्हा
भडवो,देवदूत
देश,देश
देश,देश
दनपार,दोपहर
दोस्त,दोस्त
धावंता,दौड़ो
दौलत,दौलत
जुंवो,द्वीप
धोण,धनुष
सूत,धागा
भात,धान
खारव,धीवर
धुवोर,धुआँ
वत,धूप
मडवळ,धोबी
नंबर,नंबर
नाक्शी,नख
पेंट,नगर
न्हंयी,नदी
न्हंय,नदी
नणंद,ननद
मीट,नमक
यमकोंड,नरक
नाचपीण,नर्तकी
नर्स,नर्स
नळ,नल
नोव्हेंबर,नवंबर
म्हालो,नाई
नाक,नाक
सोरोप,नाग
नाटककार,नाटककार
नात,नाती
आजो,नाना
आजी,नानी
बोंबली,नाभि
नांव,नाम
संत्र,नारंगी
व्हडें,नाव
नाश्तो,नाश्ता
कुल,नितंब
आपोवणें,निमंत्रण
निराश,निराशा
संचालक,निर्देशक
न्हीद,नींद
लिंबियो,नींबू
थळ,नींव
किरकिरो,नीलकंठ
पावणी,नीलाम
मुंगूस,नेवला
नीत,न्याय
न्यायाधीश,न्यायाधीश
न्यायालय,न्यायालय
पंखो,पंखा
मुंडासो,पगड़ी
बाम्मूण,पति
पान,पत्ता
फत्तोरु,पत्थर
बायल,पत्नी
घरकान्न,पत्नी
चीट,पत्र
पत्रकार,पत्रकार
पदक,पदक
चीज,पनीर
वैरी,पर
परिशद,परिषद
पर्वत,पर्वत
बोर,पसली
हूँ,पसीना
घाम,पसीना
पावडर,पाउडर
पिशें,पागलपन
जिरवण,पाचन
फादर,पादरी
पापड,पापड
आनु,पिता
पाय,पिताजी
पेटो,पिल्ला
पितूळ,पीतल
कामीण,पीलिया
पूत,पुत्र
धूव,पुत्री
भट,पुरोहित
सांकव,पुल
ग्रंथालय,पुस्तकालय
खिळो,पेंच
मोडशी,पेचिश
पोट,पेट
झाड,पेड़
रूख,पेड़
नात,पोता
नात,पोती
पोलियो,पोलियो
पोळो,पोलो
मुस्तायकी,पोशाक
मोग,प्यार
नमन,प्रणाम
आंगवण,प्रतिज्ञा
प्रतिनिधी,प्रतिनिधि
प्रशासन,प्रशासन
प्राध्यापक,प्राध्यापक
मागणें,प्रार्थना
फेब्रुवारी,फरवरी
फलक,फलक
पीक,फसल
भावजी,फूफा
फुलकोबी,फूलगोभी
फोटो,फोटो
घाय,फोड़ा
फोन,फ़ोन
बंद,बंद
मांकड,बंदर
बंदर,बंदरगाह
बंदर,बंदरगाह
बंदूक,बंदूक
बोकडी,बकरा
कूस,बगल
चल्दु,बच्चा
सुतार,बढ़ई
बदक,बतख
दक,बत्तख
आयदन,बरतन
वरात,बरात
बर्फ,बर्फ
थाली,बशी
भयण,बहन
भोवमत,बहुमत
सून,बहू
बावळो,बाँह
पोरसूं,बागीचा
वाग,बाघ
हुंवार,बाढ़
तीर,बाण
कूप,बादल
ढग,बादल
बदाम,बादाम
पापा,बाब
बाबू,बाबू
फावट,बार
पावसु,बारिश
पावस,बारिश
केस,बाल
बाळक,बालक
रेंव,बालू
बालदी,बाल्टी
विंचू,बिच्छू
जोगलावणी,बिजली
माजर,बिल्ली
बिलू,बिल्ली
विमो,बीमा
आका,बुआ
आत,बुआ
तापु,बुखार
बुधवार,बुधवार
कुंडो,बुरादा
ब्रेस्तार,बृहस्पतिवार
पूत,बेटा
धूव,बेटी
वाल,बेल
बेल,बेल
लाटणें,बेलन
वांयगें,बैंगन
पाडो,बैल
बैल,बैल
वजें,बोझ
साक,बोरा
भजन,भजन
पुतणयो,भतीजा
भत्तो,भत्ता
भाव,भाई
भाचो,भानजा
भारत,भारत
अस्वल,भालू
भाशण,भाषण
भेंड,भिंडी
भिकार,भिक्षुक
भूक,भूख
भूक,भूख
लांडगो,भेड़िया
जेवण,भोजन
मंगळार,मंगलवार
माळो,मंजिल
माटोव,मंडप
मंत्र,मंत्री
घर,मकान
लोणी,मक्खन
मूस,मक्खी
जळार,मच्छर
झलके,मछली
मासळी,मछली
वावराडी,मजदूर
मत,मत
गोडेंमूत,मधुमेह
मोरनु ,मर
साय,मलाई
मशीद,मसजिद
चामखीळ,मस्सा
महान,महान
म्हासागर,महासागर
म्हयनो,महीना
मास,मांस
आवय,माता
कपल,माथा
मामी,मामी
मार्च,मार्च
मळब,मिट्टी
मिनीट,मिनट
मिरसांग,मिर्च
मिरसांग,मिर्च
मेळून,मिलकर
मेलु,मिलने
मेल्या,मिलेंगे
मेस्त,मिस्त्री
मिनार,मीनार
तोंड,मुँह
व्याज,मुकदमा
मुकूट,मुकुट
मिगेल,मुझ
मूठ,मुट्ठी
छापपी,मुद्रक
कोंबो,मुरगा
कोंबी,मुरगी
मूत,मूत्र
मुळो,मूली
मरण,मृत्यु
आंतु,मे
हाव,में
मेर,मेड
बेबो,मेढक
मेथी,मेथी
शेळी,मेमना
मिगेल,मेरा
मिगेल,मेरे
झाडप,मेहतर
सोयरो,मेहमान
हाव,मैं 
अम्मा,मॉं
वात,मोमबत्ती
मोर,मोर
मोरी,मोरी
हवामान,मौसम
मावसो,मौसा
मावशी,मौसी
यक्ष,यक्ष
यज्ञ,यज्ञ
झूज,युद्ध
रथ,रथ
आयतार,रविवार
रोस,रस
रांदप,रसोइया
दोरी,रस्सी
राजदूत,राजदूत
राजकारण,राजनीति
येणावळ,राजस्व
राय,राजा
रात्ति,रात
राणी,रानी
राष्ट्र,राष्ट्र
लेस,रुमाल
रेंव,रेत
उंडो,रोटी
लांकूड,लकड़ी
दिसलें,लगा
चेल्ली,लडकी
लाडू,लड्डू
ओंठ,लब
लसूण,लहसुन
हाव,लालच
कारकून,लिपिक
आपालिपा,लुपाछिपी
बरोवप,लेखक
लेखक,लेखक
दिवो,लैंप
कोलो,लोमड़ी
लोहार,लोहार
लवंग,लौंगरेत
वकील,वकील
सभाध्यक्ष,वक्ता
वड,वट
गणवेश,वरदी
वर्स,वर्ष
तो,वह
आंगवण,वादा
वाहन,वाहन
विधेयक,विधेयक
पातयेवण,विश्वास
वड,वृक्ष
तन्नी,वो
दुबाव,शक
कणगी,शकरकंद
शेकडो,शताब्दी
दुस्मानकाय,शत्रुता
शेनवार,शनिवार
सरबत,शरबत
म्होंव,शहद
शेनाय,शहनाई
लग्न,शादी
सांज,शाम
शिकारी,शिकारी
शीर,शिरा
हिंवाळो,शीतकाल
शुक्रार,शुक्रवार
शींव,शेर
खंत,शोक
सूप,शोरबा
शौचालय,शौचालय
संगमरवर,संगमरमर
संत्र,संतरा
तृप्त,संतुष्टि
संपादप,संपादक
पत्रकार,संवाददाता
संसद,संसद
संवसार,संसार
सचीव,सचिव
रस्तो,सड़क
सांदो,सदस्य
हप्तो,सप्ताह
खबर,समाचार
संमेलन,सम्मेलन
सरकार,सरकार
सांसव,सरसों
स्वास,साँस
सायकल,साइकिल
कापड,साड़ी
वोटू,साथ
साबण,साबुन
बकें,सारस
वर्स,साल
सासूमांय,सास
साळ,साही
सिंहासन,सिंहासन
सेप्टेंबर,सितंबर
शिपाय,सिपाही
तकली,सिर
निसण,सीढ़ी
शिशें,सीसा
सोनार,सुनार
चंद,सुंदर
सुपारी,सुपारी
सकाळ,सुबह
दुकर,सूअर
सूज,सूजन
सूर्यफूल,सूरजमुखी
खुरीस,सूली
सेनापती,सेनापति
सफरचंद,सेब
सेवक,नोकर,चाकर
सेव,सेवा
शिपाय,सैनिक
सोमार,सोमवार
व्यापारी,सौदागर
सर्ग,स्वर्ग
हातमाग,हथकरघा
तळहात,हथेली
हळद,हलदी
वारें,हवा
विमानतळ,हवाई अड्डा
हात,हाथ
हस्त,हाथी
चितळ,हिरन
हरण,हिरन
वज्र,हीरा
आसा,है,हैं
अस्स,हो
काळीज,ह्रदय
चांग,अच्छी
खाण,खाना,खाने
थीक,मसालेदार
तुमका,आपका
स्वागत,स्वागत
कर्थ,करता
अस्स,हूं
हाव,मैं
बित्तरी,अंदर
नक़्क़ा,न
एवचे,आएं
स्वादिष्ट,स्वादिष्ट
मक्का,मुझे
थोड़ा,तोड़े
उध्दा,पानी
दियथी,दीजिए
लग्गी,पास
आवसु,माँ
भुक्केरी,भूखा
मेल्या,मिलेंगें,मिलेंगे
अम्मी,हम
दी,दो
कसने,क्या
वैट,बुरा
दोळो,आंख
स्वरू,आवाज़
प्राय,आयु
करें,ऊंट
हंगा,यहाँ
तन्नी,वे
खयी,कहां
सीधा,सीधे
वाच्चान्थि,जाओ
अणि,और
दावदिक्काक,बाएँ
वच्छञ्थि,मुड़ो
ख़ुशी,खुश
करा,करें
करांथी,बनाओ
जाई,चाहिए